# $t$	$r$	$y$
0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-02	0.000000e+00	0.000000e+00
1.000000e-01	0.000000e+00	0.000000e+00
1.500000e-01	0.000000e+00	0.000000e+00
2.000000e-01	0.000000e+00	0.000000e+00
2.500000e-01	0.000000e+00	0.000000e+00
3.000000e-01	0.000000e+00	0.000000e+00
3.500000e-01	0.000000e+00	0.000000e+00
4.000000e-01	0.000000e+00	0.000000e+00
4.500000e-01	0.000000e+00	0.000000e+00
5.000000e-01	0.000000e+00	0.000000e+00
5.500000e-01	0.000000e+00	0.000000e+00
6.000000e-01	0.000000e+00	0.000000e+00
6.500000e-01	0.000000e+00	0.000000e+00
7.000000e-01	0.000000e+00	0.000000e+00
7.500000e-01	0.000000e+00	0.000000e+00
8.000000e-01	0.000000e+00	0.000000e+00
8.500000e-01	0.000000e+00	0.000000e+00
9.000000e-01	0.000000e+00	0.000000e+00
9.500000e-01	0.000000e+00	0.000000e+00
1.000000e+00	1.000000e+00	3.970873e-02
1.050000e+00	1.000000e+00	7.784068e-02
1.100000e+00	1.000000e+00	1.144585e-01
1.150000e+00	1.000000e+00	1.496222e-01
1.200000e+00	1.000000e+00	1.833896e-01
1.250000e+00	1.000000e+00	2.158162e-01
1.300000e+00	1.000000e+00	2.469551e-01
1.350000e+00	1.000000e+00	2.768576e-01
1.400000e+00	1.000000e+00	3.055727e-01
1.450000e+00	1.000000e+00	3.331475e-01
1.500000e+00	1.000000e+00	3.596274e-01
1.550000e+00	1.000000e+00	3.850557e-01
1.600000e+00	1.000000e+00	4.094744e-01
1.650000e+00	1.000000e+00	4.329234e-01
1.700000e+00	1.000000e+00	4.554413e-01
1.750000e+00	1.000000e+00	4.770651e-01
1.800000e+00	1.000000e+00	4.978301e-01
1.850000e+00	1.000000e+00	5.177707e-01
1.900000e+00	1.000000e+00	5.369194e-01
1.950000e+00	1.000000e+00	5.553077e-01
2.000000e+00	1.000000e+00	5.729659e-01
2.050000e+00	1.000000e+00	5.899229e-01
2.100000e+00	1.000000e+00	6.062065e-01
2.150000e+00	1.000000e+00	6.218436e-01
2.200000e+00	1.000000e+00	6.368597e-01
2.250000e+00	1.000000e+00	6.512795e-01
2.300000e+00	1.000000e+00	6.651268e-01
2.350000e+00	1.000000e+00	6.784242e-01
2.400000e+00	1.000000e+00	6.911935e-01
2.450000e+00	1.000000e+00	7.034558e-01
2.500000e+00	1.000000e+00	7.152312e-01
2.550000e+00	1.000000e+00	7.265390e-01
2.600000e+00	1.000000e+00	7.373978e-01
2.650000e+00	1.000000e+00	7.478254e-01
2.700000e+00	1.000000e+00	7.578390e-01
2.750000e+00	1.000000e+00	7.674549e-01
2.800000e+00	1.000000e+00	7.766889e-01
2.850000e+00	1.000000e+00	7.855563e-01
2.900000e+00	1.000000e+00	7.940716e-01
2.950000e+00	1.000000e+00	8.022488e-01
3.000000e+00	1.000000e+00	8.101012e-01
3.050000e+00	0.000000e+00	7.779331e-01
3.100000e+00	0.000000e+00	7.470424e-01
3.150000e+00	0.000000e+00	7.173783e-01
3.200000e+00	0.000000e+00	6.888921e-01
3.250000e+00	0.000000e+00	6.615371e-01
3.300000e+00	0.000000e+00	6.352683e-01
3.350000e+00	0.000000e+00	6.100426e-01
3.400000e+00	0.000000e+00	5.858186e-01
3.450000e+00	0.000000e+00	5.625564e-01
3.500000e+00	0.000000e+00	5.402180e-01
3.550000e+00	0.000000e+00	5.187667e-01
3.600000e+00	0.000000e+00	4.981671e-01
3.650000e+00	0.000000e+00	4.783855e-01
3.700000e+00	0.000000e+00	4.593894e-01
3.750000e+00	0.000000e+00	4.411477e-01
3.800000e+00	0.000000e+00	4.236302e-01
3.850000e+00	0.000000e+00	4.068084e-01
3.900000e+00	0.000000e+00	3.906546e-01
3.950000e+00	0.000000e+00	3.751422e-01
4.000000e+00	0.000000e+00	3.602458e-01
4.050000e+00	0.000000e+00	3.459409e-01
4.100000e+00	0.000000e+00	3.322040e-01
4.150000e+00	0.000000e+00	3.190126e-01
4.200000e+00	0.000000e+00	3.063450e-01
4.250000e+00	0.000000e+00	2.941804e-01
4.300000e+00	0.000000e+00	2.824989e-01
4.350000e+00	0.000000e+00	2.712812e-01
4.400000e+00	0.000000e+00	2.605090e-01
4.450000e+00	0.000000e+00	2.501645e-01
4.500000e+00	0.000000e+00	2.402308e-01
4.550000e+00	0.000000e+00	2.306915e-01
4.600000e+00	0.000000e+00	2.215311e-01
4.650000e+00	0.000000e+00	2.127343e-01
4.700000e+00	0.000000e+00	2.042869e-01
4.750000e+00	0.000000e+00	1.961750e-01
4.800000e+00	0.000000e+00	1.883851e-01
4.850000e+00	0.000000e+00	1.809046e-01
4.900000e+00	0.000000e+00	1.737211e-01
4.950000e+00	0.000000e+00	1.668228e-01
5.000000e+00	0.000000e+00	1.601985e-01
